"zip","state","county","land_area_in_sqmi","water_area_in_sqmi","median_household_income"
"36483","AL","Covington County",103.49,1.38,36957
"36455","AL","Covington County",0.54,0.01,36471
"36476","AL","Covington County",1.21,0.01,15625
"36038","AL","Covington County",2.36,0.01,73586
"36028","AL","Covington County",128.88,1.44,34679
"36035","AL","Pike County",109.03,0.2,40161
"36049","AL","Crenshaw County",159.83,0.66,36761
"36036","AL","Montgomery County",104.46,0.26,43977
"36041","AL","Crenshaw County",53.11,0.14,48250
"36046","AL","Crenshaw County",68.67,0.26,46172
"35057","AL","Cullman County",126.86,3.5,41938
"35087","AL","Cullman County",22.43,0.17,39375
"35033","AL","Cullman County",75.81,3.37,45137
"35058","AL","Cullman County",68.78,1.17,37292
"35056","AL","Cullman County",NA,NA,NA
"35179","AL","Cullman County",93.3,0.77,43252
"35622","AL","Morgan County",96.72,0.32,40603
"35053","AL","Cullman County",47.9,9.11,38885
"35098","AL","Cullman County",30.23,0.7,30500
"35619","AL","Morgan County",130.14,0.54,46696
"35541","AL","Winston County",67.07,8.37,44625
"35670","AL","Morgan County",101.89,1.71,44741
"35077","AL","Cullman County",150.53,1.16,35091
"35621","AL","Morgan County",45.85,0.16,39360
"35540","AL","Winston County",73.74,0.58,40086
"35083","AL","Cullman County",36.49,0.25,36966
"35070","AL","Cullman County",1.39,0.01,20114
"35019","AL","Cullman County",29.92,0.22,54342
"35055","AL","Cullman County",64.03,0.91,35726
"36303","AL","Houston County",62.81,0.02,38694
"36353","AL","Henry County",96.45,0.09,38009
"36345","AL","Henry County",122.86,0.03,53114
"36371","AL","Dale County",11.62,0.01,61576
"36350","AL","Dale County",64.22,0.03,43406
"36362","AL","Dale County",29.48,0.02,52620
"36361","AL","Dale County",NA,NA,NA
"36352","AL","Houston County",70.86,0.03,48529
"36761","AL","Dallas County",257.45,1.81,21250
"36767","AL","Dallas County",117.78,2.19,14683
"36773","AL","Dallas County",97.36,1.56,23625
"36785","AL","Lowndes County",126.34,1.53,36364
"36759","AL","Dallas County",191.67,1.08,26907
"36775","AL","Dallas County",92.81,1.45,20956
"35962","AL","DeKalb County",78.7,0.07,36730
"35968","AL","DeKalb County",53.6,0.12,32500
"35765","AL","Jackson County",70.35,2.87,39000
"35986","AL","DeKalb County",45.25,0.01,39882
"35971","AL","DeKalb County",56.72,0,36477
"35956","AL","Etowah County",73.73,0.2,46844
"35989","AL","DeKalb County",60.7,0.11,34456
"35988","AL","DeKalb County",12.21,0.07,39303
"35771","AL","Jackson County",61.12,0.81,30491
"35978","AL","DeKalb County",67.4,0.14,38054
"35966","AL","Jackson County",83.44,0.02,40268
"35963","AL","DeKalb County",27.75,0,26850
"35979","AL","DeKalb County",10.47,0,33750
"35975","AL","DeKalb County",34.23,0.18,46902
"35974","AL","DeKalb County",13.14,0.01,38438
"35951","AL","Marshall County",72.83,0.95,37210
"35981","AL","DeKalb County",23.11,0,35893
"35954","AL","Etowah County",104.46,0.44,33533
"36054","AL","Elmore County",24.35,1.5,55593
"36024","AL","Elmore County",89.9,6.98,50325
"36025","AL","Elmore County",14.42,0.49,43750
"36020","AL","Elmore County",10.05,1.15,47857
"36093","AL","Elmore County",81.52,1.88,78375
"36078","AL","Elmore County",172.32,5.81,45500
"36092","AL","Elmore County",130.8,5.02,49012
"36543","AL","Escambia County",0.29,0,NA
"36441","AL","Escambia County",58.67,0.73,32653
"36503","AL","Escambia County",NA,NA,NA
"35902","AL","Etowah County",NA,NA,NA
"35906","AL","Etowah County",35.3,2.38,45111
"35972","AL","Etowah County",24.38,0.14,40625
"35990","AL","Etowah County",0.08,0,NA
"35904","AL","Etowah County",46.17,0.31,32741
"35907","AL","Etowah County",22.27,2.78,70147
"35574","AL","Lamar County",101.11,0.05,33036
"35594","AL","Marion County",144.47,0.17,35200
"35545","AL","Fayette County",1.28,0,29722
"35546","AL","Fayette County",221.12,0.43,32623
"35554","AL","Fayette County",51.62,0.08,29135
"35555","AL","Fayette County",315.95,1.7,34026
"35579","AL","Walker County",141.31,2.68,42974
"35549","AL","Walker County",115.73,0.32,34963
"35563","AL","Marion County",103.81,0.05,42083
"35559","AL","Fayette County",0.66,0,19063
"35542","AL","Fayette County",55.32,0.11,44759
"35593","AL","Franklin County",117.7,0.55,48261
"35585","AL","Franklin County",39.64,0.29,49662
"35571","AL","Franklin County",62.51,1.74,26716
"35565","AL","Winston County",277.83,0.83,26928
"35581","AL","Franklin County",121.93,1.28,35889
"35564","AL","Marion County",67.26,0.13,25957
"36344","AL","Geneva County",128.55,0.98,31867
"36313","AL","Geneva County",3.93,0,32446
"36375","AL","Geneva County",121.77,0.5,43047
"36340","AL","Geneva County",47.44,0.63,37227
"36301","AL","Houston County",89.27,0.64,37708
"36314","AL","Geneva County",23.59,0.09,65521
"36305","AL","Houston County",31.78,0.06,62592
"36349","AL","Geneva County",NA,NA,NA
"35462","AL","Greene County",312.93,4.05,28462
"35491","AL","Greene County",NA,NA,NA
"35469","AL","Greene County",18.59,0.86,24653
"35480","AL","Tuscaloosa County",68.25,0.09,51923
"35443","AL","Greene County",189.47,4.05,18788
"35464","AL","Sumter County",32.97,0.47,18879
"36740","AL","Greene County",73.23,3.45,27703
"35463","AL","Tuscaloosa County",61.33,2.16,58750
"35448","AL","Greene County",NA,NA,NA
"35441","AL","Hale County",66.74,3.38,30052
"36765","AL","Hale County",73.53,0.6,19167
"36738","AL","Marengo County",72.24,0.18,28519
"36744","AL","Hale County",229,3.95,28083
"36786","AL","Perry County",137.69,0.42,15625
"36756","AL","Perry County",414.2,3.19,30815
"35474","AL","Hale County",200.8,1.81,43432
"36776","AL","Hale County",81.28,2.43,25313
"36742","AL","Marengo County",113.74,1.86,32156
"36319","AL","Houston County",100.2,0.16,32153
"36373","AL","Henry County",62.16,0.11,40541
"36310","AL","Henry County",215.5,6.26,33882
"36321","AL","Houston County",6.9,0.07,40288
"36343","AL","Houston County",100.63,0.22,31333
"36320","AL","Houston County",65.9,0.12,36164
"36312","AL","Houston County",77,0.34,42108
"36370","AL","Houston County",28.26,0.02,44018
"36302","AL","Houston County",NA,NA,NA
"36376","AL","Houston County",22.61,0.07,32019
"35772","AL","Jackson County",172.13,7.35,36967
"35744","AL","Jackson County",33.3,0.56,28656
"35769","AL","Jackson County",62.63,25.24,49583
"35748","AL","Madison County",80.97,0.57,62787
"35768","AL","Jackson County",169.27,1.49,36108
"35752","AL","Jackson County",46.73,6.52,24670
"35766","AL","Jackson County",35.82,0.13,43333
"35776","AL","Jackson County",90.38,0.4,35833
"35755","AL","Marshall County",17.13,13.88,29844
"35764","AL","Jackson County",33.23,0.18,22813
"35958","AL","Jackson County",52.68,1.75,50404
"35746","AL","Jackson County",58.05,0.91,55549
"35774","AL","Jackson County",14.15,0.08,2499
"35740","AL","Jackson County",35.7,1.15,37538
"35745","AL","Jackson County",67.06,0.16,31417
"35751","AL","Jackson County",28.7,0.08,34318
"35212","AL","Jefferson County",5.87,0,28010
"35215","AL","Jefferson County",28.67,0.03,41762
"35173","AL","Jefferson County",63.6,1.03,76698
"35205","AL","Jefferson County",3.63,0,32131
"35232","AL","Jefferson County",NA,NA,NA
"35218","AL","Jefferson County",2.61,0,23415
"35444","AL","Tuscaloosa County",148.87,3.2,51083
"35048","AL","Jefferson County",NA,NA,NA
"35254","AL","Jefferson County",0.42,0,16563
"35181","AL","Jefferson County",NA,NA,NA
"35294","AL","Jefferson County",NA,NA,NA
"35130","AL","Walker County",67.44,3.15,39556
"35208","AL","Jefferson County",3.53,0,34720
"35224","AL","Jefferson County",15.76,0.09,31408
"35202","AL","Jefferson County",NA,NA,NA
"35209","AL","Jefferson County",9.33,0.06,45224
"35235","AL","Jefferson County",14.02,0.03,49336
"35091","AL","Jefferson County",6.55,0,78194
"35061","AL","Jefferson County",1.97,0,39272
"35207","AL","Jefferson County",10.4,0.03,23167
"35211","AL","Jefferson County",17.66,0.03,25729
"35217","AL","Jefferson County",18.08,0.06,27013
"35219","AL","Jefferson County",NA,NA,NA
"35116","AL","Jefferson County",22.15,0.01,68222
"35062","AL","Jefferson County",44.89,0.3,51653
"35127","AL","Jefferson County",9.84,0,62381
"35210","AL","Jefferson County",25.3,0.39,51546
"35214","AL","Jefferson County",26.64,0.03,43263
"35222","AL","Jefferson County",3.73,0,44214
"35006","AL","Jefferson County",99.81,3.02,51929
"35023","AL","Jefferson County",90.43,1.61,46460
"35022","AL","Jefferson County",65.48,0.5,57765
"35243","AL","Jefferson County",12.14,0.18,68700
"35244","AL","Jefferson County",21.65,0.61,82465
"35236","AL","Jefferson County",NA,NA,NA
"35270","AL","",NA,NA,NA
"35295","AL","Jefferson County",NA,NA,NA
"35119","AL","Jefferson County",0.28,0,NA
"35015","AL","Jefferson County",NA,NA,NA
"35139","AL","Jefferson County",1.17,0.06,28333
"35073","AL","Jefferson County",26.47,0.18,39954
"35117","AL","Jefferson County",26.71,0.02,72500
"35216","AL","Jefferson County",14.03,0.19,53846
"35223","AL","Jefferson County",8.22,0.03,120943
"35020","AL","Jefferson County",19,0.01,24570
"35242","AL","Shelby County",52.96,2.73,83616
"35234","AL","Jefferson County",3.56,0,21867
"35231","AL","Jefferson County",NA,NA,NA
"35220","AL","Jefferson County",NA,NA,NA
"35229","AL","Jefferson County",0.17,0,NA
"35123","AL","Jefferson County",NA,NA,NA
"35060","AL","Jefferson County",2.58,0.16,42321
"35293","AL","Jefferson County",NA,NA,NA
"35206","AL","Jefferson County",10.23,0.04,32001
"35226","AL","Jefferson County",17.9,0.09,83644
"35213","AL","Jefferson County",6.35,0.01,94504
"35228","AL","Jefferson County",4.32,0,32013
"35255","AL","Jefferson County",NA,NA,NA
"35249","AL","Jefferson County",NA,NA,NA
"35064","AL","Jefferson County",4.11,0,34938
"35005","AL","Jefferson County",34.51,0.35,46059
"35021","AL","Jefferson County",NA,NA,NA
"35036","AL","Jefferson County",0.83,0,13125
"35285","AL","Jefferson County",NA,NA,NA
"35080","AL","Shelby County",43.55,1.14,79570
"35094","AL","Jefferson County",57.53,1.61,51912
"35068","AL","Jefferson County",13.96,0,46170
"35071","AL","Jefferson County",57.07,0.18,58875
"35118","AL","Jefferson County",37.13,0.38,50063
"35204","AL","Jefferson County",4.86,0,20894
"35203","AL","Jefferson County",2.02,0,18894
"35221","AL","Jefferson County",3.65,0,25150
"35201","AL","Jefferson County",NA,NA,NA
"35233","AL","Jefferson County",1.68,0,49423
"35266","AL","Jefferson County",NA,NA,NA
"35259","AL","Jefferson County",NA,NA,NA
"35260","AL","Jefferson County",NA,NA,NA
"35253","AL","Jefferson County",NA,NA,NA
"35261","AL","Jefferson County",NA,NA,NA
"35148","AL","Walker County",6.19,0.01,38704
"35142","AL","Jefferson County",NA,NA,NA
"35586","AL","Lamar County",182.46,0.34,32373
"35544","AL","Lamar County",71.77,0.02,49188
"35552","AL","Lamar County",59.63,0,30806
"35576","AL","Lamar County",174.02,0.11,33302
"35592","AL","Lamar County",124.72,0.09,36374
"35570","AL","Marion County",239,0.1,31910
"35677","AL","Lauderdale County",109.55,13.64,46146
"35614","AL","Limestone County",63.59,2.29,42619
"35617","AL","Lauderdale County",NA,NA,NA
"35633","AL","Lauderdale County",208.97,13.85,45877
"35648","AL","Lauderdale County",58.11,0.14,52951
"35630","AL","Lauderdale County",25.1,4.14,31100
"35634","AL","Lauderdale County",61.67,3.48,56162
"35652","AL","Lauderdale County",83.89,11.37,44880
"35631","AL","Lauderdale County",NA,NA,NA
"35645","AL","Lauderdale County",86.27,6.92,55715
"35610","AL","Lauderdale County",48.35,0.11,37381
"35632","AL","Lauderdale County",NA,NA,NA
"35650","AL","Lawrence County",211.59,1.32,36534
"35643","AL","Lawrence County",80.68,16.75,32267
"35651","AL","Lawrence County",53.71,0.27,45766
"35603","AL","Morgan County",70.36,6.68,52382
"35618","AL","Lawrence County",46,0.33,27128
"35673","AL","Morgan County",43.82,0.23,47339
"36865","AL","Lee County",0.1,0,16250
"36832","AL","Lee County",70.87,0.53,21387
"36804","AL","Lee County",193.06,0.99,44938
"36849","AL","Lee County",0.39,0,NA
"36867","AL","Russell County",12.99,0.18,37202
"36831","AL","Lee County",NA,NA,NA
"36877","AL","Lee County",41.24,0.66,46073
"36874","AL","Lee County",111.39,1.73,49872
"36866","AL","Macon County",89.07,0.6,36836
"36870","AL","Lee County",24.29,0.11,60009
"36803","AL","Lee County",NA,NA,NA
"35611","AL","Limestone County",114.04,15.65,39507
"35612","AL","Limestone County",NA,NA,NA
"35739","AL","Limestone County",27.12,0.09,42985
"35749","AL","Madison County",40.49,0.2,83463
"35613","AL","Limestone County",76.94,0.52,70542
"35649","AL","Limestone County",2.22,1.11,165000
"35757","AL","Madison County",12.01,0.04,88578
"35671","AL","Limestone County",52.66,21.21,41038
"35620","AL","Limestone County",108.86,1.63,43605
"35742","AL","Limestone County",NA,NA,NA
"35773","AL","Madison County",72.71,0.36,51595
"35647","AL","Limestone County",23.59,0.16,39444
"35615","AL","Limestone County",0.7,0,NA
"35756","AL","Limestone County",76.57,5.43,77449
"36047","AL","Lowndes County",110.55,1.01,25286
"36040","AL","Lowndes County",154.9,1.22,16528
"36752","AL","Lowndes County",149.46,5.76,41907
"36043","AL","Montgomery County",102.79,1.57,51000
"36013","AL","Montgomery County",17.38,0.09,83750
"36075","AL","Macon County",91.5,1.1,54519
"36083","AL","Macon County",254.77,2.09,27249
"36088","AL","Macon County",3.35,0,28958
"36039","AL","Macon County",38.03,0.15,27313
"36087","AL","Macon County",NA,NA,NA
"35806","AL","Madison County",23.28,0.18,69644
"35807","AL","Madison County",NA,NA,NA
"35897","AL","Madison County",NA,NA,NA
"35750","AL","Madison County",63.54,0.14,49826
"35814","AL","Madison County",NA,NA,NA
"35899","AL","Madison County",NA,NA,NA
"35893","AL","Madison County",NA,NA,NA
"35810","AL","Madison County",28.81,0.04,36194
"35805","AL","Madison County",9.15,0.13,24873
"35815","AL","Madison County",NA,NA,NA
"35767","AL","Madison County",NA,NA,NA
"35763","AL","Madison County",42.06,0.44,101759
"35758","AL","Madison County",26.89,0.12,90256
"35803","AL","Madison County",47.58,1.97,71904
"35808","AL","Madison County",57.71,3.38,59286
"35804","AL","Madison County",NA,NA,NA
"35760","AL","Madison County",52.92,0.44,41962
"35762","AL","Madison County",NA,NA,NA
"35895","AL","Madison County",NA,NA,NA
"35898","AL","Madison County",NA,NA,NA
"35741","AL","Madison County",23.54,0.11,92198
"35759","AL","Madison County",16.25,0.05,81044
"35812","AL","Madison County",NA,NA,NA
"35802","AL","Madison County",18.13,0.78,62784
"35816","AL","Madison County",5.3,0.01,25749
"35813","AL","Madison County",NA,NA,NA
"35809","AL","Madison County",NA,NA,NA
"35896","AL","Madison County",0.25,0,NA
"35801","AL","Madison County",14.08,0.05,59352
"35761","AL","Madison County",116.55,0.29,54856
"35811","AL","Madison County",46.25,0.51,54949
"35824","AL","Madison County",12.76,0.17,75313
"35894","AL","Madison County",NA,NA,NA
"36745","AL","Marengo County",NA,NA,NA
"36728","AL","Wilcox County",90.43,1.48,15781
"36722","AL","Wilcox County",32.21,0.02,25811
"36763","AL","Marengo County",20.17,0.71,58750
"36732","AL","Marengo County",127.98,2.72,36649
"36748","AL","Marengo County",153.66,0.32,33822
"36754","AL","Marengo County",40.19,0,28500
"36736","AL","Marengo County",41.1,0.02,28333
"36783","AL","Marengo County",117.58,0.1,38750
"36764","AL","Marengo County",NA,NA,NA
"36769","AL","Wilcox County",146.51,1.62,25388
"35548","AL","Marion County",65.06,0.13,32179
"35543","AL","Marion County",37.39,0.22,25143
"35754","AL","Morgan County",43.48,1.02,51178
"35747","AL","Marshall County",74.53,3.66,52740
"35964","AL","Marshall County",NA,NA,NA
"35175","AL","Marshall County",63.67,1.75,49597
"35950","AL","Marshall County",44.58,0.12,34274
"36688","AL","Mobile County",0.54,0,NA
"36505","AL","Mobile County",21.6,1.06,32344
"36618","AL","Mobile County",16.13,0.04,47733
"36608","AL","Mobile County",62.56,0.55,45438
"36611","AL","Mobile County",4.75,0.5,30363
"36602","AL","Mobile County",0.91,0,20227
"36590","AL","Mobile County",0,0,NA
"36670","AL","Mobile County",NA,NA,NA
"36560","AL","Mobile County",70.19,2.13,34342
"36521","AL","Mobile County",144.46,0.46,48179
"36575","AL","Mobile County",42,1.95,52738
"36544","AL","Mobile County",40.08,0.07,38265
"36619","AL","Mobile County",17.18,0.36,55962
"36652","AL","Mobile County",NA,NA,NA
"36685","AL","Mobile County",NA,NA,NA
"36528","AL","Mobile County",6.37,27.47,63542
"36522","AL","Mobile County",220.07,1.26,40290
"36525","AL","Mobile County",16.75,0.95,48919
"36571","AL","Mobile County",45.63,0.51,51875
"36572","AL","Mobile County",9.28,0.12,61652
"36582","AL","Mobile County",80.3,4.04,42956
"36603","AL","Mobile County",6.43,1.5,22298
"36606","AL","Mobile County",6.56,0,37447
"36689","AL","Mobile County",NA,NA,NA
"36644","AL","Mobile County",NA,NA,NA
"36675","AL","Mobile County",NA,NA,NA
"36523","AL","Mobile County",38.3,8.47,47961
"36604","AL","Mobile County",2.64,0,40037
"36695","AL","Mobile County",47.75,0.26,67911
